  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.5004E-03      1.0001E+00      1.0000E+00      1.0001E+00      2.5001E-03      8.9983E+01      9.0012E+01      1.0000E+00
      2.5007E-03      1.0001E+00      1.0000E+00      1.0002E+00      2.5004E-03      8.9972E+01      9.0022E+01      1.0000E+00
      2.5010E-03      1.0001E+00      1.0000E+00      1.0003E+00      2.5007E-03      8.9965E+01      9.0032E+01      1.0000E+00
      2.5012E-03      1.0001E+00      1.0000E+00      1.0003E+00      2.5009E-03      8.9950E+01      9.0047E+01      1.0000E+00
      2.5022E-03      1.0003E+00      1.0000E+00      1.0006E+00      2.5011E-03      8.9901E+01      9.0083E+01      1.0000E+00
      2.5040E-03      1.0006E+00      1.0000E+00      1.0012E+00      2.5020E-03      8.9826E+01      9.0152E+01      1.0000E+00
      2.5054E-03      1.0008E+00      1.0000E+00      1.0015E+00      2.5035E-03      8.9758E+01      9.0242E+01      1.0000E+00
      2.5075E-03      1.0017E+00      1.0000E+00      1.0023E+00      2.5045E-03      8.9616E+01      9.0387E+01      1.0000E+00
      2.5130E-03      1.0039E+00      1.0001E+00      1.0055E+00      2.5070E-03      8.9316E+01      9.0674E+01      1.0000E+00
      2.5200E-03      1.0070E+00      1.0002E+00      1.0110E+00      2.5096E-03      8.8961E+01      9.1114E+01      1.0000E+00
      2.5416E-03      1.0156E+00      1.0009E+00      1.0238E+00      2.5190E-03      8.7855E+01      9.2024E+01      1.0000E+00
      2.5489E-03      1.0252E+00      1.0019E+00      1.0430E+00      2.5052E-03      8.7420E+01      9.3221E+01      1.0000E+00
      2.4828E-03      1.0273E+00      1.0038E+00      1.0712E+00      2.4323E-03      8.6774E+01      9.3060E+01      1.0000E+00
      2.6858E-03      1.1050E+00      1.0248E+00      1.1927E+00      2.4597E-03      7.8385E+01      9.7571E+01      1.0000E+00
      2.3231E-03      1.0905E+00      1.0483E+00      1.3348E+00      1.9495E-03      8.1368E+01      9.8330E+01      1.0000E+00
      1.4537E-03      1.4903E+00      1.2965E+00      1.7294E+00      8.3304E-04      6.4185E+01      1.2929E+02      1.0000E+00
      1.9135E-03      1.2860E+00      1.3546E+00      1.4563E+00      1.0754E-03      7.1136E+01      1.3234E+02      1.0000E+00
      2.4799E-03      1.0898E+00      1.0114E+00      1.1437E+00      2.3401E-03      8.6048E+01      9.5209E+01      1.0000E+00
      2.4346E-03      1.0372E+00      1.0034E+00      1.0786E+00      2.3462E-03      8.7936E+01      9.3968E+01      1.0000E+00
      2.5349E-03      1.0164E+00      1.0007E+00      1.0374E+00      2.5221E-03      8.9287E+01      9.0740E+01      1.0000E+00
      2.5359E-03      1.0161E+00      1.0005E+00      1.0297E+00      2.5141E-03      8.9601E+01      9.0744E+01      1.0000E+00
      2.5231E-03      1.0075E+00      1.0001E+00      1.0147E+00      2.5148E-03      8.9791E+01      9.0382E+01      1.0000E+00
      2.5170E-03      1.0052E+00      1.0001E+00      1.0086E+00      2.5114E-03      8.9686E+01      9.0345E+01      1.0000E+00
      2.5093E-03      1.0028E+00      1.0000E+00      1.0043E+00      2.5062E-03      8.9782E+01      9.0219E+01      1.0000E+00
      2.5046E-03      1.0012E+00      1.0000E+00      1.0020E+00      2.5031E-03      8.9888E+01      9.0105E+01      1.0000E+00
      2.5024E-03      1.0006E+00      1.0000E+00      1.0010E+00      2.5016E-03      8.9941E+01      9.0052E+01      1.0000E+00
      2.5013E-03      1.0003E+00      1.0000E+00      1.0005E+00      2.5009E-03      8.9970E+01      9.0026E+01      1.0000E+00
      2.5007E-03      1.0002E+00      1.0000E+00      1.0003E+00      2.5005E-03      8.9982E+01      9.0015E+01      1.0000E+00
      2.5004E-03      1.0001E+00      1.0000E+00      1.0002E+00      2.5002E-03      8.9989E+01      9.0008E+01      1.0000E+00
      2.5002E-03      1.0000E+00      1.0000E+00      1.0001E+00      2.5001E-03      8.9995E+01      9.0004E+01      1.0000E+00
      2.5001E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5001E-03      8.9997E+01      9.0002E+01      1.0000E+00
      2.5001E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9998E+01      9.0001E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9999E+01      9.0001E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9999E+01      9.0000E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      9.0000E+01      9.0000E+01      1.0000E+00
